Nummer,Titel,"Adresse des Gartens",lat,lon,Entwicklungsstand,Stadtackertyp,ID,Elementtyp,Pfad
30,"Interkulturelle NaturWerkStadt","Hasenheide 44","52,4901492415328","13,4170275509262",Laufend,"Imkerei;#7;#Jugend - / Kinder-Garten;#33",58,Element,Lists/Projekte
31,"Interkultureller Bio-Garten","Prinzenstr 1","52,4971037737071","13,4077215631599",Abgeschlossen,"Interkultureller Garten;#8",268,Element,Lists/Projekte
32,"Interkultureller Garten auf dem Kinderbauernhof im Görlitzer Park","Wiener Str 59b","52,4957523","13,4378234",Laufend,"Interkultureller Garten;#8",15,Element,Lists/Projekte
33,"Interkultureller Garten City im Familiengarten","Kluckstr 11","52,5041074393815","13,3628169989502",Laufend,"Interkultureller Garten;#8;#Gemeinschaftsgarten (individuelle Nutzung);#4",21,Element,Lists/Projekte
34,"Interkultureller Garten der Generationen (SUZ Mitte)","Seestr 74","52,5559011710599","13,3638523336601",Laufend,"Interkultureller Garten;#8;#Generationengarten;#6",20,Element,Lists/Projekte
35,"Interkultureller Garten der Künste im Pallaspark Schöneberg","Pallasstr 7","52,4947284411823","13,3584058846558",Laufend,"Gemeinschaftsgarten (individuelle Nutzung);#4",64,Element,Lists/Projekte
36,"Interkultureller Garten Lichtenberg","Liebenwalder Str 12-18","52,5364398","13,5010002",Laufend,"Interkultureller Garten;#8;#Imkerei;#7;#Weinbau;#27",18,Element,Lists/Projekte
37,"Interkultureller Garten Marzahn","Golliner Str 8-10","52,5681139025586","13,5809682209015",Laufend,"Interkultureller Garten;#8",19,Element,Lists/Projekte
38,"Interkultureller Garten Mitte Museum am Gesundbrunnen","Pankstraße 47","52,5511671598351","13,3802600521843",Abgebrochen,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Interkultureller Garten;#8",37,Element,Lists/Projekte
39,"Interkultureller Garten Oberschöneweide","Kottmeierstr 2","52,4627092210577","13,5244689497375",Laufend,"Interkultureller Garten;#8",24,Element,Lists/Projekte
40,"Interkultureller Generationengarten Lichtenrade","Blohmstr 71-73","52,3894025082596","13,381055604477",Laufend,"Interkultureller Garten;#8;#Generationengarten;#6",39,Element,Lists/Projekte
41,"Interkultureller Heilgarten (BZFO)","Turmstraße 21","52,5269285273564","13,3463392256562",Laufend,"Interkultureller Garten;#8;#Heilgarten;#21",22,Element,Lists/Projekte
42,"Interkultureller Kiez-Garten",Friedrichstr,"52,4999369190649","13,391777772415",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Interkultureller Garten;#8",338,Element,Lists/Projekte
43,"Interkultureller Nachbarschaftsgarten","Senftenberger Ring 45","52,6053446010196","13,3612015877662",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Interkultureller Garten;#8",327,Element,Lists/Projekte
44,"Interkultureller Schulgarten Oberschöneweide","Kottmeierstr 2","52,4626830736898","13,5243884834671",Laufend,"Interkultureller Garten;#8;#Schulgarten (allg. Schulbildung);#16",25,Element,Lists/Projekte
45,"Interkultureller Seniorengarten im MehrGenerationenHaus i.Gr.","Wassertorstr 48","52,5002812986056","13,405461509787",Unklar,"Interkultureller Garten;#8;#Seniorengarten;#20",62,Element,Lists/Projekte
46,"Jugendfarm Moritzhof","Schwedter Str 90","52,548296","13,4003735",Laufend,Kinderbauernhof;#9,49,Element,Lists/Projekte
47,"Kids' Garden","Friedelstr 39","52,4920125714627","13,4267985105896",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",33,Element,Lists/Projekte
48,"Kiezgarten Heinrichtreff","Heinrichstr 32","52,50623","13,50013",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",52,Element,Lists/Projekte
49,"Kiezgarten Köllnische Vorstadt","Rudower Str 51","52,4397365197933","13,4603862662705",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",41,Element,Lists/Projekte
50,"Kiezgarten Schliemannstrasse","Schliemannstr 8","52,5418983515158","13,4181425178604",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",35,Element,Lists/Projekte
51,"Kiezinseln Schöneberg ","Cherusker Str 23a","52,48118","13,35861",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",68,Element,Lists/Projekte
52,"Kleingartenkolonie Potsdamer Güterbahnhof","Bülowstr 68","52,4966758960629","13,3687491217041",Laufend,"Gemeinschaftsgarten (individuelle Nutzung);#4;#Kleingarten/Schrebergarten;#10;#Interkultureller Garten;#8",326,Element,Lists/Projekte
53,"Klima-Garten im Kinder- und Jugendklub Maxim","Charlottenburgerstr 117","52,55219","13,44547",Laufend,"Bildungs-/Lehrgarten;#22;#Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",82,Element,Lists/Projekte
54,"Krummer Garten Charlottenburg","Krumme Str","52,5152346978265","13,3086989365235",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",63,Element,Lists/Projekte
55,"Lebens(t)raum Johannisthal Gemeinschaftsgarten ","Weg Am Rundling","52,4388153845417","13,5124200748687",Geplant,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",335,Element,Lists/Projekte
56,"Lern- und Nachbarschaftsgarten Kottbusser Damm","Kottbusser Damm 80a","52,4917550169943","13,4240785713027",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",61,Element,Lists/Projekte
57,"Lichtenberger Stadtgarten","Allee der Kosmonauten 23a","52,5261145756128","13,5130832470131",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",48,Element,Lists/Projekte
58,"Märkisches Grünland","Golliner Str","52,5684329470721","13,5812309550477",Abgebrochen,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",32,Element,Lists/Projekte
59,Mauergarten,"Lortzing- und Gleimstr","52,5460673478557","13,3999909993752",Geplant,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Generationengarten;#6;#Interkultureller Garten;#8;#Jugend - / Kinder-Garten;#33",312,Element,Lists/Projekte
60,"meine ernte - Gartenbaubetrieb Vogel","Grüne Trift","52,577766","13,526995",Laufend,Selbst-Ernte-/Krautgarten;#12,50,Element,Lists/Projekte
61,"meine ernte - Hof Lutz Gericke","Klein-Ziethener-Weg 17","52,4005660057998","13,4768459235954",Laufend,Selbst-Ernte-/Krautgarten;#12,51,Element,Lists/Projekte
62,"Mietergarten am Auerbacher Ring","Auerbacher Ring","52,5330580373851","13,6007170749382",Unklar,Kleingarten/Schrebergarten;#10,55,Element,Lists/Projekte
63,"Mittelhof e.V. Generationengarten","Teltower Damm 228","52,4133811","13,2665099",Laufend,Generationengarten;#6;#Heilgarten;#21,74,Element,Lists/Projekte
64,Mörchenpark,"Holzmarktstr 30","52,5112641","13,4277273",Geplant,,322,Element,Lists/Projekte
65,"Nachbarschaftsgarten Fürstenwalder Straße","Fürstenwalder Str 30","52,519944290068","13,4311571109756",Laufend,"Interkultureller Garten;#8;#Gemeinschaftsgarten (individuelle Nutzung);#4",332,Element,Lists/Projekte
66,"Nachbarschaftshaus Centrum e.V. Generationengarten","Cuvrystr 13/14","52,49879021348","13,4437725079346",Laufend,Generationengarten;#6;#Heilgarten;#21,75,Element,Lists/Projekte
67,"Offener Garten im KuBiz Weissensee","Bernkasteler Str 78","52,5571827334388","13,4698054901436",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",34,Element,Lists/Projekte
68,"Ökogarten am Buschgraben – ein Garten für alle!","Ludwigsfelder Str 30","52,4231837373152","13,2446462294998",Laufend,"Interkultureller Garten;#8;#Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",28,Element,Lists/Projekte
69,"Paul Gerhard Stift Generationengarten","Müllerstr 56-58","52,5554629232705","13,3480436147499",Laufend,Generationengarten;#6;#Heilgarten;#21,76,Element,Lists/Projekte
70,"Perivoli – Unser Garten","Koppelweg 102","52,444687","13,416386",Laufend,"Interkultureller Garten;#8",23,Element,Lists/Projekte
71,"Permakulturgarten Wagendorf Karow","Pankgrafenstr 12d","52,615889208949","13,4524397962952",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",53,Element,Lists/Projekte
72,"Pestalozzi-Treff Generationengarten","Pestalozzistr 1a","52,510175960196","13,614299528836",Laufend,Generationengarten;#6;#Heilgarten;#21,77,Element,Lists/Projekte
73,"Prachttomate, Nachbarschaftsgarten ","Bornsdorfer Str. 9-11","52,4768864937035","13,4357072562752",Laufend,"Mobiler Garten (z. B. Containergarten);#19;#Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",54,Element,Lists/Projekte
74,Prinzessinnengarten,"Prinzenstr 35-38","52,503034678951","13,4112125289749",Laufend,"Interkultureller Garten;#8",9,Element,Lists/Projekte
75,Pyramidengarten,"Columbiadamm 120","52,4820499734563","13,4082104293436",Laufend,"Interkultureller Garten;#8",6,Element,Lists/Projekte
76,"Quartiersgarten Havelspitze in der Spandauer Wasserstadt",Rauchstr,"52,5604968068461","13,221000259169",Abgebrochen,Mietergemeinschaftsgarten;#24,65,Element,Lists/Projekte
77,"Rosa Rose, Nachbarschaftsgarten ","Jessnerstr 3","52,5132859338978","13,4742347087372",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Interkultureller Garten;#8",7,Element,Lists/Projekte
